,location,date,total_cases,new_cases,total_deaths,new_deaths,population,cases_per_million
50513,Brazil,2020-10-10,4880523.0,0.0,145388.0,0.0,215313504,0.022667054826250005
50514,Brazil,2020-10-11,5055888.0,175365.0,149639.0,4251.0,215313504,0.023481518372391545
50515,Brazil,2020-10-12,5055888.0,0.0,149639.0,0.0,215313504,0.023481518372391545
50516,Brazil,2020-10-13,5055888.0,0.0,149639.0,0.0,215313504,0.023481518372391545
50517,Brazil,2020-10-14,5055888.0,0.0,149639.0,0.0,215313504,0.023481518372391545
50518,Brazil,2020-10-15,5055888.0,0.0,149639.0,0.0,215313504,0.023481518372391545
50519,Brazil,2020-10-16,5055888.0,0.0,149639.0,0.0,215313504,0.023481518372391545
50520,Brazil,2020-10-17,5055888.0,0.0,149639.0,0.0,215313504,0.023481518372391545
50521,Brazil,2020-10-18,5200300.0,144412.0,153214.0,3575.0,215313504,0.0241522240983083
50522,Brazil,2020-10-19,5200300.0,0.0,153214.0,0.0,215313504,0.0241522240983083
50523,Brazil,2020-10-20,5200300.0,0.0,153214.0,0.0,215313504,0.0241522240983083
50524,Brazil,2020-10-21,5200300.0,0.0,153214.0,0.0,215313504,0.0241522240983083
50525,Brazil,2020-10-22,5200300.0,0.0,153214.0,0.0,215313504,0.0241522240983083
50526,Brazil,2020-10-23,5200300.0,0.0,153214.0,0.0,215313504,0.0241522240983083
50527,Brazil,2020-10-24,5200300.0,0.0,153214.0,0.0,215313504,0.0241522240983083
50528,Brazil,2020-10-25,5353656.0,153356.0,156471.0,3257.0,215313504,0.024864469253168625
50529,Brazil,2020-10-26,5353656.0,0.0,156471.0,0.0,215313504,0.024864469253168625
50530,Brazil,2020-10-27,5353656.0,0.0,156471.0,0.0,215313504,0.024864469253168625
50531,Brazil,2020-10-28,5353656.0,0.0,156471.0,0.0,215313504,0.024864469253168625
50532,Brazil,2020-10-29,5353656.0,0.0,156471.0,0.0,215313504,0.024864469253168625
50533,Brazil,2020-10-30,5353656.0,0.0,156471.0,0.0,215313504,0.024864469253168625
50534,Brazil,2020-10-31,5353656.0,0.0,156471.0,0.0,215313504,0.024864469253168625
